request_id,enqueue_time,send_time,first_byte_time,end_time,prompt_tokens,resp_tokens,bytes_received,status,error
dabdea2d-84cc-473a-9c8c-6e7cb8dd8027,1758871617.1666913,1758871617.1667707,,1758871617.1667802,8,,,,"'""model""'"
86e52ff3-faff-46db-9246-0d13cb79df85,1758871617.179115,1758871617.1791947,,1758871617.1792035,26,,,,"'""model""'"
940e2e37-b631-4140-b117-4406433d3123,1758871617.1993709,1758871617.199451,,1758871617.1994603,109,,,,"'""model""'"
8e449006-3a1d-44a8-a898-cf453a12b84a,1758871617.236793,1758871617.2368734,,1758871617.236883,44,,,,"'""model""'"
72ce7565-ed2f-4ceb-9a87-a05548a28b3a,1758871617.2562232,1758871617.2563026,,1758871617.2563121,81,,,,"'""model""'"
e5c83268-843b-4627-b9e1-33fccc642025,1758871617.3487113,1758871617.3487902,,1758871617.3487997,43,,,,"'""model""'"
037efd26-2f7a-4194-aeca-d02efebb2a96,1758871617.419185,1758871617.4192646,,1758871617.4192736,96,,,,"'""model""'"
850721eb-1912-4b3a-858a-f90a52fbb9e6,1758871617.4356105,1758871617.4356902,,1758871617.4356997,26,,,,"'""model""'"
ee486208-61e0-439a-ad95-46a996e79008,1758871617.4590452,1758871617.4591255,,1758871617.459135,119,,,,"'""model""'"
6ed9e363-cd91-48f2-89f9-d9889ef42324,1758871617.4604752,1758871617.4605553,,1758871617.4605649,86,,,,"'""model""'"
5fb6fcf0-e77d-414e-9112-bdd0592856d7,1758871617.481878,1758871617.481957,,1758871617.4819663,54,,,,"'""model""'"
51d6860b-608a-4f3f-83d9-3b4f9acfe409,1758871617.4843013,1758871617.4843802,,1758871617.4843898,73,,,,"'""model""'"
